Sample	SRA	BioProject	Location	Location_short	Latitude	Longitude	Plant	Organ material	Year	Season	Species
S49	SRR24918034	PRJNA980748	The botanical garden on Sakhalin Island (46.943386, 142.758662)	The botanical garden on Sakhalin Island (S-Va, S-1)	46.943386	142.758662	S-Va	Stem	2022	Summer	V. amurensis
S50	SRR24918032	PRJNA980748	The botanical garden on Sakhalin Island (46.943386, 142.758662)	The botanical garden on Sakhalin Island (S-Va, S-1)	46.943386	142.758662	S-Va	Stem	2022	Summer	V. amurensis
S51	SRR27098858	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	M-dm	Leaf	2022	Summer	V. amurensis
S52	SRR27098857	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	M-dm	Stem	2022	Summer	V. amurensis
S53	SRR24918028	PRJNA980748	The botanical garden on Sakhalin Island (46.943386, 142.758662)	The botanical garden on Sakhalin Island (S-Va, S-1)	46.943386	142.758662	S-1	Leaf	2022	Summer	V. coignetiae
S54	SRR24917961	PRJNA980748	The botanical garden on Sakhalin Island (46.943386, 142.758662)	The botanical garden on Sakhalin Island (S-Va, S-1)	46.943386	142.758662	S-1	Leaf	2022	Summer	V. coignetiae
S55	SRR24917963	PRJNA980748	The botanical garden on Sakhalin Island (46.943386, 142.758662)	The botanical garden on Sakhalin Island (S-Va, S-1)	46.943386	142.758662	S-1	Stem	2022	Summer	V. coignetiae
S56	SRR24917981	PRJNA980748	The botanical garden on Sakhalin Island (46.943386, 142.758662)	The botanical garden on Sakhalin Island (S-Va, S-1)	46.943386	142.758662	S-1	Stem	2022	Summer	V. coignetiae
S57	SRR24917983	PRJNA980748	Near the city of Kholmsk on Sakhalin Island (46.98275, 142.117957)	Near the city of Kholmsk (S-2)	46.98275	142.117957	S-2	Leaf	2022	Summer	V. coignetiae
S58	SRR24917986	PRJNA980748	Near the city of Kholmsk on Sakhalin Island (46.98275, 142.117957)	Near the city of Kholmsk (S-2)	46.98275	142.117957	S-2	Leaf	2022	Summer	V. coignetiae
